#timestamp x y z qx qy qz qw
55149999999.000000 0.335824 -0.468857 0.024702 -0.669999 0.198027 -0.286114 0.655764
55249999999.000000 0.342067 -0.454101 0.026784 -0.677082 0.176133 -0.257314 0.666579
55299999999.000000 0.347855 -0.444929 0.026786 -0.681238 0.175468 -0.251095 0.664889
55449999999.000000 0.363530 -0.414965 0.022369 -0.695644 0.153438 -0.220735 0.666193
55699999999.000000 0.399259 -0.363128 0.023220 -0.720902 0.109238 -0.185517 0.658749
55949999999.000000 0.417974 -0.319921 0.025315 -0.718798 0.063998 -0.143775 0.677172
56349999999.000000 0.441104 -0.256030 0.020300 -0.707786 0.012760 -0.133066 0.693664
56599999999.000000 0.456454 -0.213822 0.027755 -0.719972 -0.019432 -0.102762 0.686078
56699999999.000000 0.463704 -0.196783 0.027135 -0.721301 -0.026371 -0.102973 0.684416
57299999999.000000 0.488663 -0.097853 0.036410 -0.694454 -0.009521 -0.103160 0.712040
57949999999.000000 0.509833 0.006107 0.030997 -0.706448 -0.022975 -0.074343 0.703474
58649999999.000000 0.510432 0.113483 0.038417 -0.702395 -0.052126 -0.069892 0.706427
59049999999.000000 0.504878 0.178693 0.035702 -0.699734 -0.105173 -0.028303 0.706053
59099999999.000000 0.501862 0.185706 0.033024 -0.696269 -0.119308 -0.016045 0.707614
59299999999.000000 0.490392 0.215816 0.033765 -0.696408 -0.162112 0.029358 0.698480
59549999999.000000 0.468793 0.250579 0.028669 -0.692833 -0.207287 0.066963 0.687409
59699999999.000000 0.452630 0.272617 0.031382 -0.679393 -0.260504 0.100069 0.678638
59849999999.000000 0.434828 0.297890 0.032023 -0.659886 -0.314287 0.166250 0.661918
59899999999.000000 0.429338 0.310203 0.031887 -0.644149 -0.358223 0.201164 0.645199
59999999999.000000 0.409357 0.325484 0.027708 -0.616828 -0.405946 0.255767 0.623951
60099999999.000000 0.385736 0.331908 0.019448 -0.593539 -0.426305 0.308506 0.608933
60249999999.000000 0.347420 0.312898 0.018808 -0.584984 -0.432236 0.352849 0.588611
60399999999.000000 0.301151 0.292631 -0.015360 -0.551559 -0.468573 0.380585 0.575653
60499999999.000000 0.278465 0.281939 -0.019762 -0.524126 -0.497576 0.429088 0.541843
60599999999.000000 0.257429 0.260757 -0.022616 -0.509091 -0.514526 0.468492 0.506562
60649999999.000000 0.243997 0.243367 -0.024080 0.508907 0.513115 -0.488715 -0.488758
60849999999.000000 0.213986 0.207990 -0.026569 -0.475733 -0.514035 0.554372 0.449577
60999999999.000000 0.189382 0.194781 -0.023565 -0.446036 -0.545015 0.574101 0.417635
61149999999.000000 0.171929 0.177058 -0.018545 -0.422423 -0.578044 0.578346 0.391076
61249999999.000000 0.159164 0.164645 -0.012040 0.430628 0.598722 -0.572458 -0.358307
61349999999.000000 0.148729 0.147535 -0.009257 0.389270 0.624588 -0.597061 -0.319179
61499999999.000000 0.133639 0.131055 -0.010131 0.345945 0.639090 -0.629514 -0.274951
61699999999.000000 0.109893 0.113149 -0.011056 0.293831 0.663595 -0.645470 -0.238064
61899999999.000000 0.091816 0.091879 -0.008046 0.235770 0.683790 -0.664147 -0.189081
62049999999.000000 0.078782 0.076113 -0.006535 0.200725 0.697222 -0.671959 -0.148535
62399999999.000000 0.062809 0.052149 -0.005737 0.141513 0.718660 -0.668527 -0.128743
62949999999.000000 0.041933 0.026563 -0.001827 0.087989 0.707503 -0.693425 -0.104205
